Date	ActualValue	ForecastValue	PreviousValue
2020.06.18	0.4	0.2	0.2
2020.05.21	0.2	0.5	0.6
2020.04.23	0.6	0.6	0.6
2020.03.18	0.6	0.9	0.8
2020.02.20	0.8	0.9	0.9
2020.01.23	0.9	0.8	0.8
2019.12.19	0.8	0.6	0.7
2019.11.21	0.7	0.5	0.5
2019.10.17	0.5	0.6	0.6
2019.09.19	0.6	0.5	0.6
2019.08.22	0.6	0.4	0.5
2019.07.18	0.5	0.6	0.5
2019.06.20	0.5	0.6	0.6
2019.05.23	0.6	0.4	0.4
2019.04.18	0.4	0.4	0.4
2019.03.21	0.4	0.3	0.4
2019.02.21	0.4	0.2	0.3
2019.01.17	0.3	0.3	0.3
2018.12.20	0.3	0.4	0.4
2018.11.21	0.4	0.4	0.4
2018.10.18	0.4	0.4	0.4
2018.09.20	0.4	0.3	0.3
2018.08.23	0.3	0.3	0.2
2018.07.19	0.2	0.4	0.3
2018.06.21	0.3	0.5	0.4
2018.05.17	0.4	0.5	0.5
2018.04.19	0.5	0.5	0.5
2018.03.22	0.5	0.4	0.4
2018.02.22	0.4	0.3	0.3
2018.01.25	0.3	0.3	0.3
2017.12.25	0.3	0.2	0.2
2017.11.30	0.2	0.2	0.2
2017.10.26	0.2	0.2	0.2
2017.09.28	0.2	0.0	0.1
2017.08.24	0.1	0.0	0.0
2017.07.27	0.0	0.0	0.0
2017.06.29	0.0	0.0	0.0
2017.05.25	0.0	0.0	-0.1
2017.04.27	-0.1		0.1
2017.03.30	0.1		0.2
2017.03.02	0.2		0.0
2017.01.26	0.0		0.1
2016.12.26	0.1		0.2
2016.11.24	0.2		0.0
2016.10.27	0.0		0.2
2016.09.29	0.2		0.3
2016.08.25	0.3		0.4
2016.07.28	0.4		0.6
2016.06.30	0.6		0.7
2016.05.26	0.7		0.7
2016.04.27	0.7		0.8
2016.03.24	0.8		0.7
2016.02.25	0.7		0.8
2016.01.28	0.8		0.9
2015.12.24	0.9		0.7
2015.11.26	0.7		0.9
2015.10.29	0.9		0.8
2015.09.24	0.8		0.6
2015.08.27	0.6		0.6
2015.07.30	0.6		0.4
2015.06.25	0.4		0.4
2015.05.28	0.4		2.2
2015.04.30	2.2		2.0
2015.03.26	2.0		2.1
2015.02.26	2.1		2.1
2015.01.29	2.1		2.1
2014.12.25	2.1		2.2
2014.11.27	2.2		2.3
2014.10.30	2.3		2.3
2014.09.25	2.3		2.3
2014.08.28	2.3		2.3
2014.07.24	2.3		2.2
2014.06.26	2.2		2.3
2014.05.29	2.3		0.7
2014.04.24	0.7		0.8
2014.03.27	0.8		0.7
2014.02.27	0.7		0.7
2014.01.30	0.7		0.6
2013.12.26	0.6		0.3
2013.11.28	0.3		0.0
2013.10.24	0.0		-0.1
2013.09.26	-0.1		-0.1
2013.08.29	-0.1		-0.2
2013.07.25	-0.2		-0.4
2013.06.27	-0.4		-0.6
2013.05.30	-0.6		-0.8
2013.04.25	-0.8		-0.9
2013.03.28	-0.9		-0.7
2013.02.28	-0.7		-0.6
2013.01.24	-0.6		-0.6
2012.12.27	-0.6		-0.5
2012.11.29	-0.5		-0.6
2012.10.25	-0.6		-0.5
2012.09.27	-0.5		-0.6
2012.08.30	-0.6		-0.6
2012.07.26	-0.6		-0.6
2012.06.28	-0.6		-0.3
2012.05.24	-0.3		-0.5
2012.04.26	-0.5		-0.6
2012.03.29	-0.6		-0.9
2012.03.01	-0.9		-1.1
2012.01.26	-1.1		-1.1
2011.12.27	-1.1		-1.0
2011.11.24	-1.0		-0.4
2011.10.27	-0.4		-0.5
2011.09.29	-0.5		-0.5
2011.08.25	-0.5		-0.3
2011.07.28	-0.8		0.1
2011.06.30	0.1		-0.1
2011.05.26	-0.1		-0.7
2011.04.27	-0.7		-0.6
2011.03.24	-0.6		-0.6
2011.02.24	-0.6		-0.7
2011.01.27	-0.7		-0.9
2010.12.27	-0.9		-0.8
2010.11.25	-0.8		-1.5
2010.10.28	-1.5		-1.5
2010.09.30	-1.5		-1.4
2010.08.26	-1.4		-1.5
2010.07.29	-1.5		-1.6
2010.06.24	-1.6		-1.6
2010.05.27	-1.6		-1.1
2010.04.29	-1.1		-1.4
2010.03.25	-1.4		-1.2
2010.02.25	-1.2		-1.2
2010.01.28	-1.2		-1.5
2009.12.24	-1.0		-1.3
2009.11.26	-1.3		-1.0
2009.10.29	-1.0		-0.9
2009.09.28	-0.9		-0.9
2009.08.27	-0.9		-0.7
2009.07.30	-0.7		-0.5
2009.06.25	-0.5		-0.4
2009.05.28	-0.4		-0.3
2009.04.30	-0.3		-0.1
2009.03.26	-0.1		-0.2
2009.02.26	-0.2		0.0
2009.01.29	0.0		0.0
2008.12.25	0.0		0.2
2008.11.27	0.2		0.2
2008.10.30	0.2		0.0
2008.09.25	0.0		0.2
2008.08.28	0.2		0.1
2008.07.24	0.1		-0.1
2008.06.26	-0.1		-0.1
2008.05.29	-0.1		0.1
2008.04.24	0.1		-0.1
2008.03.27	-0.1		-0.1
2008.02.28	-0.1		
