Date	ActualValue	ForecastValue	PreviousValue
2020.06.08	-0.7	0.3	-0.3
2020.05.07	-0.3	-0.6	0.2
2020.04.06	0.5	2.5	0.4
2020.03.05	0.7	-0.4	-1.1
2020.02.06	-0.9	-1.2	-0.6
2020.01.07	-0.9	-0.1	-0.4
2019.12.05	0.1	0.4	0.2
2019.11.07	0.6		-0.5
2019.10.07	-0.6		-1.7
2019.09.05	-0.9		-0.5
2019.08.05	-0.5		-1.3
2019.07.08	-1.0		-1.4
2019.06.06	-1.1		-1.9
2019.05.09	-2.5		-1.0
2019.04.04	-1.1		-0.7
2019.03.07	1.1		1.1
2019.02.07	1.4		0.8
2019.01.09	1.1		-0.1
2018.12.07	-0.1		-0.1
2018.11.07	-0.4		-0.7
2018.10.05	-0.6		0.5
2018.09.07	0.4		2.5
2018.08.07	2.8		1.3
2018.07.06	1.3		-0.2
2018.06.06	0.0		0.7
2018.05.09	0.8		-0.8
2018.04.06	-0.5		-0.6
2018.03.09	-0.9		-0.3
2018.02.07	-0.5		0.1
2018.01.09	0.1		-0.1
2017.12.08	0.2		-0.1
2017.11.07	-0.1		-0.1
2017.10.06	0.1		-1.1
2017.09.06	-0.8		-0.1
2017.08.04	-0.8		0.0
2017.07.07	0.1		0.0
2017.06.06	0.0		-0.3
2017.05.09	-0.8		0.0
2017.04.07	0.0		-0.1
2017.03.09	0.0		0.1
2017.02.06	-0.4		0.0
2017.01.06	-0.2		0.0
2016.12.06	0.0		0.8
2016.11.07	0.9		0.6
2016.10.07	0.5		1.8
2016.09.05	2.0		2.0
2016.08.05	1.8		0.4
2016.07.08	0.2		0.4
2016.06.03	0.6		1.6
2016.05.09	1.4		0.3
2016.04.05	0.4		0.0
2016.03.04	0.4		-0.2
2016.02.08	-0.1		-0.4
2016.01.08	-0.4		0.4
2015.12.04	0.4		0.3
2015.11.09	0.5		0.1
2015.10.05	0.2		0.5
2015.09.04	0.3		-3.0
2015.08.04	-2.9		0.0
2015.06.30	-0.1		-0.1
2015.06.02	0.1		-2.7
2015.05.01	-2.6		-2.3
2015.04.03	-2.0		-2.3
2015.03.03	-1.5		-1.7
2015.02.04	-1.4		-2.7
2014.12.26	-4.3		-3.0
2014.12.02	-2.8		-3.0
2014.11.05	-2.9		-3.1
2014.09.30	-2.6		
