Date,Value
2008-02-13,53.3
2008-04-09,48.3
2008-05-14,51.4
2008-06-11,49.3
2008-07-09,45.7
2008-08-13,48.8
2008-09-10,45.7
2008-10-15,47.0
2008-11-12,43.5
2008-12-10,35.4
2009-01-21,42.5
2009-02-11,42.0
2009-03-11,38.6
2009-04-15,40.7
2009-05-13,43.7
2009-06-10,42.7
2009-07-15,46.2
2009-08-12,49.7
2009-09-16,48.7
2009-10-14,51.7
2009-11-11,50.6
2009-12-09,51.8
2010-01-20,52.9
2010-02-10,52.0
2010-03-10,53.3
2010-04-14,56.3
2010-05-12,58.9
2010-06-09,54.5
2010-07-14,56.2
2010-08-11,49.9
2010-09-15,49.3
2010-10-13,49.2
2010-11-10,49.7
2010-12-15,52.7
2011-01-20,53.1
2011-02-16,53.7
2011-04-13,50.1
2011-05-11,51.5
2011-06-15,54.7
2011-07-13,54.3
2011-08-10,53.2
2011-09-14,52.9
2011-10-12,50.8
2011-11-09,46.5
2011-12-14,45.7
2012-01-24,51.9
2012-02-15,50.5
2012-03-14,57.7
2012-04-11,54.5
2012-05-09,48.0
2012-06-14,55.7
2012-07-11,50.2
2012-08-15,49.4
2012-09-12,47.2
2012-10-10,48.2
2012-11-14,50.5
2012-12-12,48.8
2013-01-23,50.1
2013-02-13,55.2
2013-03-14,56.3
2013-04-10,53.4
2013-05-15,54.5
2013-06-13,59.2
2013-07-10,54.7
2013-08-14,59.5
2013-09-12,57.5
2013-10-09,54.3
2013-11-13,55.7
2013-12-12,56.7
2014-01-22,56.4
2014-02-12,56.2
2014-03-13,56.2
2014-04-09,58.4
2014-05-14,55.2
2014-06-12,52.7
2014-07-09,53.3
2014-08-13,53.0
2014-09-11,56.5
2014-10-15,58.1
2014-11-12,59.3
2014-12-11,55.2
2015-01-21,57.7
2015-02-11,50.9
2015-03-12,55.9
2015-04-15,54.5
2015-05-13,51.8
2015-06-11,51.5
2015-07-15,55.2
2015-08-12,53.5
2015-09-10,55.0
2015-10-14,55.4
2015-11-11,53.3
2015-12-10,54.7
2016-01-20,56.7
2016-02-10,57.9
2016-03-10,56.0
2016-04-13,54.7
2016-05-11,56.5
2016-06-16,57.1
2016-07-13,57.7
2016-08-11,55.8
2016-09-14,55.1
2016-10-12,57.7
2016-11-10,55.2
2016-12-14,54.4
2017-01-18,54.5
2017-02-16,51.6
2017-03-16,55.2
2017-04-12,57.8
2017-05-11,56.8
2017-06-15,58.5
2017-07-13,56.2
2017-08-10,55.4
2017-09-14,57.9
2017-10-12,57.5
2017-11-16,57.2
2017-12-14,57.7
2018-01-18,51.2
2018-02-15,55.6
2018-03-15,53.4
2018-04-12,52.2
2018-05-10,58.9
2018-06-14,54.5
2018-07-12,52.8
2018-08-09,51.2
2018-09-13,52.0
2018-10-11,51.7
2018-11-15,53.5
2018-12-13,53.5
2019-01-17,55.1
2019-02-14,53.1
2019-03-14,53.7
2019-04-11,51.9
2019-05-16,53.0
2019-06-13,50.2
2019-07-11,51.3
2019-08-15,48.2
2019-09-12,48.4
2019-10-10,48.4
2019-11-14,52.6
2019-12-12,51.4
2020-01-16,49.3
2020-02-13,49.6
2020-03-12,53.2
2020-05-14,38.0
2020-05-14,26.1
2020-06-11,39.7
2020-07-16,56.3
2020-08-13,58.8
